Source: ACS 5-Year Estimates Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: selected geographies: Western Upper Peninsula PUM..., Eastern Upper Peninsula PUM..., Northeast Lower Peninsula P..., Northwest Lower Peninsula (..., Northwest Lower Peninsula (..., Newaygo, Mason, Oceana & La..., Muskegon County PUMA, Michigan, Ottawa County (West) PUMA, ..., Ottawa County (East) PUMA, ..., Allegan County PUMA, Michigan, Kent County (Southwest) PUM..., Kent County (Central)--Gran..., Kent County (Southeast) PUM..., Kent County (North) PUMA, M..., Ionia, Montcalm, Mecosta & ..., Isabella, Gratiot & Clare C..., Iosco, Gladwin, Roscommon, ..., Bay & Midland Counties PUMA..., Saginaw County PUMA, Michigan, Tuscola, Sanilac & Huron Co..., Genesee (East) & Lapeer Cou..., Genesee County (Central, Ou..., Genesee County (Central)--F..., Genesee (West) & Shiawassee..., Ingham County (South & East..., Ingham County (Northwest) P..., Eaton & Clinton Counties PU..., Calhoun & Barry Counties PU..., Kalamazoo County (Outer) PU..., Kalamazoo County (Central)-..., St. Joseph & Branch Countie..., Van Buren & Cass Counties P..., Berrien County PUMA, Michigan, Lenawee & Hillsdale Countie..., Jackson County PUMA, Michigan, Washtenaw County (West, Nor..., Washtenaw County (East Cent..., Washtenaw County (East Cent..., Livingston County PUMA, Mic..., Oakland County (West) PUMA,..., Oakland County (Northeast) ..., Oakland County (East Centra..., Oakland County (Central) PU..., Oakland County (Southwest) ..., Oakland County (Central)--B..., Oakland County (South Centr..., Oakland County (Southeast) ..., Macomb County (North) PUMA,..., Macomb County (Central) PUM..., Macomb County (Southwest)--..., Macomb County (Southeast)--..., Macomb County (Southeast)--..., Macomb County (Southwest)--..., St. Clair County PUMA, Mich..., Wayne County (Northwest) PU..., Wayne County (North Central..., Wayne County (Central)--Dea..., Wayne County (Central)--Wes..., Wayne County (Southwest) PU..., Wayne County (Southeast)--D..., Wayne County (Southeast)--D..., Detroit City (Northwest) PU..., Detroit City (North Central..., Detroit City (Northeast) PU..., Detroit City (South Central..., Detroit City (Southwest) PU..., Wayne County (Northeast)--I..., Monroe County PUMA, Michigan; Occupation recode for 2018 and later based on 2018 OCC codes (OCCP): CMM-Computer And Information Research Scientists, CMM-Computer Systems Analysts, CMM-Information Security Analysts, CMM-Computer Programmers, CMM-Software Developers, CMM-Software Quality Assurance Analysts and Testers, CMM-Web Developers, CMM-Web And Digital Interface Designers, CMM-Computer Support Specialists, CMM-Database Administrators and Architects, CMM-Network And Computer Systems Administrators, CMM-Computer Network Architects, CMM-Computer Occupations, All Other, CMM-Actuaries, CMM-Operations Research Analysts, CMM-Other Mathematical Science Occupations, ENG-Architects, Except Landscape And Naval, ENG-Landscape Architects, ENG-Surveyors, Cartographers, And Photogrammetrists, ENG-Aerospace Engineers, ENG-Biomedical And Agricultural Engineers, ENG-Chemical Engineers, ENG-Civil Engineers, ENG-Computer Hardware Engineers, ENG-Electrical And Electronics Engineers, ENG-Environmental Engineers, ENG-Industrial Engineers, Including Health And Safety, ENG-Marine Engineers And Naval Architects, ENG-Materials Engineers, ENG-Mechanical Engineers, ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers, ENG-Other Engineers, ENG-Architectural And Civil Drafters, ENG-Other Drafters, ENG-Electrical And Electronic Engineering Technologists And Technicians, ENG-Other Engineering Technologists And Technicians, Except Drafters, ENG-Surveying And Mapping Technicians; Educational attainment (SCHL): Regular high school diploma, Associate's degree, Bachelor's degree, Master's degree, Doctorate degree"
"","Occupation recode for 2018 and later based on 2018 OCC codes (OCCP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","CMM-Computer And Information Research Scientists","","","","","CMM-Computer Systems Analysts","","","","","CMM-Information Security Analysts","","","","","CMM-Computer Programmers","","","","","CMM-Software Developers","","","","","CMM-Software Quality Assurance Analysts and Testers","","","","","CMM-Web Developers","","","","","CMM-Web And Digital Interface Designers","","","","","CMM-Computer Support Specialists","","","","","CMM-Database Administrators and Architects","","","","","CMM-Network And Computer Systems Administrators","","","","","CMM-Computer Network Architects","","","","","CMM-Computer Occupations, All Other","","","","","CMM-Actuaries","","","","","CMM-Operations Research Analysts","","","","","CMM-Other Mathematical Science Occupations","","","","","ENG-Architects, Except Landscape And Naval","","","","","ENG-Landscape Architects","","","","","ENG-Surveyors, Cartographers, And Photogrammetrists","","","","","ENG-Aerospace Engineers","","","","","ENG-Biomedical And Agricultural Engineers","","","","","ENG-Chemical Engineers","","","","","ENG-Civil Engineers","","","","","ENG-Computer Hardware Engineers","","","","","ENG-Electrical And Electronics Engineers","","","","","ENG-Environmental Engineers","","","","","ENG-Industrial Engineers, Including Health And Safety","","","","","ENG-Marine Engineers And Naval Architects","","","","","ENG-Materials Engineers","","","","","ENG-Mechanical Engineers","","","","","ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","","","","","ENG-Other Engineers","","","","","ENG-Architectural And Civil Drafters","","","","","ENG-Other Drafters","","","","","ENG-Electrical And Electronic Engineering Technologists And Technicians","","","","","ENG-Other Engineering Technologists And Technicians, Except Drafters","","","","","ENG-Surveying And Mapping Technicians","","","",""
"","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","","","Educational attainment (SCHL)","","","",""
"Selected Geographies","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree","Regular high school diploma","Associate's degree","Bachelor's degree","Master's degree","Doctorate degree"
" -> AGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Upper Peninsula PUMA, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Upper Peninsula PUMA, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northeast Lower Peninsula PUMA, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northwest Lower Peninsula (East) PUMA, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northwest Lower Peninsula (West) PUMA, Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
