ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation,CIP2,ID CIP2
"519020","Crushing, grinding, polishing, mixing, & blending workers",2015,"2015","true","true",575,588.7186308184093,45016.187826086956,32416.75577569453,0.2421808244465327,23,"crushing-grinding-polishing-mixing-blending-workers","Engineering","14"
"472080","Drywall installers, ceiling tile installers, & tapers",2019,"2019","true","true",244,383.5034829358906,45010.2868852459,35737.5515017406,0.0694213449103767,9,"drywall-installers-ceiling-tile-installers-tapers","Engineering","14"
"439022","Word processors & typists",2016,"2016","true","true",1972,1090.247683973596,44991.882352941175,32001.82482193575,0.23434598899175196,104,"word-processors-typists","Engineering","14"
"517011","Cabinetmakers & bench carpenters",2016,"2016","true","true",159,309.580128089585,44962.71698113208,40683.82265183425,0.13205046749660973,11,"cabinetmakers-bench-carpenters","Engineering","14"
"472040","Carpet, floor, & tile installers & finishers",2018,"2018","true","true",539,569.9914431043351,44934.834879406306,36158.67716643783,0.16334909052757038,21,"carpet-floor-tile-installers-finishers","Engineering","14"
"254022","Librarians and media collections specialists",2019,"2019","true","true",1395,916.9798834250223,44927.121863799286,18257.288343190507,0.26388342049220426,76,"librarians-and-media-collections-specialists","Engineering","14"
"439061","Office clerks, general",2019,"2019","true","true",7115,2070.8647405685006,44851.700351370346,15373.499785438655,0.17850883323157854,352,"office-clerks-general","Engineering","14"
"512020","Electrical, electronics, & electromechanical assemblers",2014,"2014","true","true",958,759.8991988803684,44786.46450939457,46646.32488763325,0.2624632461869315,41,"electrical-electronics-electromechanical-assemblers","Engineering","14"
"492098","Security & fire alarm systems installers",2017,"2017","true","true",933,749.918671250072,44750.13290460879,24559.088522008624,0.619646962303497,42,"security-fire-alarm-systems-installers","Engineering","14"
"514120","Welding, soldering, & brazing workers",2018,"2018","true","true",2091,1122.661038827736,44711.268770923,14585.849924023863,0.1248557915448959,87,"welding-soldering-brazing-workers","Engineering","14"
"499094","Locksmiths & safe repairers",2018,"2018","true","true",164,314.41006302651164,44658.5,56040.38077315939,0.25676959948165856,8,"locksmiths-safe-repairers","Engineering","14"
"454011","Forest & conservation workers",2016,"2016","true","true",117,265.5629651206514,44646,28700.133665461122,0.31405389629723546,6,"forest-conservation-workers","Engineering","14"
"472181","Roofers",2018,"2018","true","true",868,723.3247480122094,44611.949308755764,21306.055084675696,0.16471440268262333,23,"roofers","Engineering","14"
"31909X","Healthcare support workers, all other, including medical equipment preparers",2015,"2015","true","true",451,521.3895503243391,44485.58980044346,34044.63439125162,0.10920180361808342,23,"healthcare-support-workers-all-other-including-medical-equipment-preparers","Engineering","14"
"435011","Cargo & freight agents",2016,"2016","true","true",234,375.56259090488396,44466.153846153844,71113.01676418821,0.39955403194115247,10,"cargo-freight-agents","Engineering","14"
"515111","Prepress technicians & workers",2015,"2015","true","true",269,402.6711148253496,44456.00371747212,53871.26659050938,0.3184807176025239,12,"prepress-technicians-workers","Engineering","14"
"273090","Miscellaneous media & communication workers",2017,"2017","true","true",1522,957.8109074870187,44439.205650459924,20696.83123210202,0.6076416588347469,71,"miscellaneous-media-communication-workers","Engineering","14"
"319091","Dental assistants",2015,"2015","true","true",433,510.87897311303766,44417.27713625866,47857.21830943758,0.05566979742583501,19,"dental-assistants","Engineering","14"
"319092","Medical assistants",2016,"2016","true","true",793,691.3693611467496,44408.08070617907,38031.74824559327,0.0594263389064215,39,"medical-assistants","Engineering","14"
"533011","Ambulance drivers & attendants, except emergency medical technicians",2019,"2019","true","true",122,271.1780255657522,44368.07377049181,63221.34815397343,0.33795281318202186,5,"ambulance-drivers-attendants-except-emergency-medical-technicians","Engineering","14"
"392021","Nonfarm animal caretakers",2014,"2014","true","true",672,636.4412563452946,44350.77678571428,79077.13537031089,0.16122549237423503,36,"nonfarm-animal-caretakers","Engineering","14"
"252050","Special education teachers",2016,"2016","true","true",929,748.3093694120222,44325.01614639397,20432.079718509583,0.13121207704174506,58,"special-education-teachers","Engineering","14"
"319091","Dental assistants",2014,"2014","true","true",376,476.0670042372372,44267.88563829787,53201.95224858141,0.05064724658354903,19,"dental-assistants","Engineering","14"
"533030","Driver/sales workers & truck drivers",2018,"2018","true","true",17555,3252.7369738244197,44242.492680148105,6980.143430534975,0.18395035029754894,697,"driversales-workers-truck-drivers","Engineering","14"
"537065","Stockers and order fillers",2019,"2019","true","true",8524,2266.64719464112,44220.94099014547,14786.464223198087,0.17697499689282278,377,"stockers-and-order-fillers","Engineering","14"
"472080","Drywall installers, ceiling tile installers, & tapers",2017,"2017","true","true",291,418.8136349275615,44209.41237113402,28343.972585787404,0.08691718966707768,10,"drywall-installers-ceiling-tile-installers-tapers","Engineering","14"
"372021","Pest control workers",2019,"2019","true","true",786,688.3112601293315,44190.07506361323,21614.039225012304,0.3439213352580953,32,"pest-control-workers","Engineering","14"
"514120","Welding, soldering, & brazing workers",2016,"2016","true","true",1809,1044.2181852863507,44166.41459369817,17812.423414877056,0.11360964503587659,81,"welding-soldering-brazing-workers","Engineering","14"
"472140","Painters & paperhangers",2016,"2016","true","true",2371,1195.4650370465267,44138.06452973429,22034.6579947457,0.20135732311376928,91,"painters-paperhangers","Engineering","14"
"254021","Librarians",2016,"2016","true","true",1562,970.3152667388571,44118.48271446863,22576.722669308157,0.32493006435745453,74,"librarians","Engineering","14"
"472031","Carpenters",2020,"2020","true","true",6235,1938.5805602121172,44043.12317562149,8520.943569161673,0.21367652457881128,254,"carpenters","Engineering","14"
"254021","Librarians",2014,"2014","true","true",1283,879.3991518733196,44033.944660950896,25454.038857790183,0.279832666012099,61,"librarians","Engineering","14"
"439061","Office clerks, general",2018,"2018","true","true",7261,2092.002160096635,43881.34747279989,14985.383210258158,0.18750979763330045,359,"office-clerks-general","Engineering","14"
"312010","Occupational therapy assistants & aides",2019,"2019","true","true",89,231.61657268420228,43877.38202247191,64658.3417664994,0.08869629328786181,5,"occupational-therapy-assistants-aides","Engineering","14"
"514030","Machine tool cutting setters, operators, & tenders, metal & plastic",2015,"2015","true","true",447,519.0722594572445,43858.93736017897,35680.05531311355,0.10745617674086394,22,"machine-tool-cutting-setters-operators-tenders-metal-plastic","Engineering","14"
"513099","Food processing workers, all other",2015,"2015","true","true",825,705.1807363492517,43845.59272727273,34283.19759484117,0.25029788798381847,28,"food-processing-workers-all-other","Engineering","14"
"533030","Driver/sales workers & truck drivers",2019,"2019","true","true",16591,3162.1801526876184,43831.19329757097,7609.437895783087,0.1673876543028959,690,"driversales-workers-truck-drivers","Engineering","14"
"211011","Substance abuse and behavioral disorder counselors",2019,"2019","true","true",614,608.3563423325899,43812.27687296417,26191.9654941312,0.23925635388775496,28,"substance-abuse-and-behavioral-disorder-counselors","Engineering","14"
"454011","Forest & conservation workers",2015,"2015","true","true",101,246.73757226691703,43729.86138613861,32512.191025010245,0.267225467178184,5,"forest-conservation-workers","Engineering","14"
"254010","Archivists, curators, & museum technicians",2017,"2017","true","true",664,632.6416671783496,43638.552710843374,34822.31731701319,0.4939387761852078,32,"archivists-curators-museum-technicians","Engineering","14"
"1940YY","Miscellaneous life, physical, & social science technicians, including social science research assistants",2020,"2020","true","true",7175,2079.5779315724367,43622.24724738676,11914.263293847363,1.1308138289101726,336,"miscellaneous-life-physical-social-science-technicians-including-social-science-research-assistants","Engineering","14"
"254010","Archivists, curators, & museum technicians",2016,"2016","true","true",613,607.8606785655297,43596.55138662316,38347.07792269615,0.481607427221598,32,"archivists-curators-museum-technicians","Engineering","14"
"319092","Medical assistants",2014,"2014","true","true",645,623.5245939052836,43593.82325581396,44453.09470140298,0.054575667852985024,27,"medical-assistants","Engineering","14"
"211010","Counselors",2014,"2014","true","true",3739,1501.2275756694914,43593.03824552019,17033.082123769633,0.21150162234367642,201,"counselors","Engineering","14"
"533030","Driver/sales workers & truck drivers",2017,"2017","true","true",17005,3201.380581804001,43589.45898265216,6963.8062584726,0.1870297564198324,664,"driversales-workers-truck-drivers","Engineering","14"
"513092","Food batchmakers",2016,"2016","true","true",334,448.6911225017633,43560.99700598802,44324.176957229975,0.1385616954603211,13,"food-batchmakers","Engineering","14"
"435030","Dispatchers",2017,"2017","true","true",1221,857.8882909912611,43543.13104013104,17398.453912047185,0.15243785800864199,57,"dispatchers","Engineering","14"
"211012","Educational, guidance, and career counselors and advisors",2020,"2020","true","true",2453,1215.961821275378,43493.34325315939,15520.690563883856,0.23762176886728256,105,"educational-guidance-and-career-counselors-and-advisors","Engineering","14"
"519111","Packaging & filling machine operators & tenders",2017,"2017","true","true",1012,781.0223848143862,43391.37944664032,38863.89909444303,0.13467709814878165,44,"packaging-filling-machine-operators-tenders","Engineering","14"
"272040","Musicians, singers, & related workers",2016,"2016","true","true",1553,967.515856852176,43388.18287186092,37324.942476559074,0.4076039508707205,73,"musicians-singers-related-workers","Engineering","14"
"493023","Automotive service technicians & mechanics",2014,"2014","true","true",5358,1797.0806809888527,43371.60824934677,9393.8813354096,0.27890527846907953,215,"automotive-service-technicians-mechanics","Engineering","14"
"371012","Firstline supervisors of landscaping, lawn service, & groundskeeping workers",2014,"2014","true","true",626,614.2722944371114,43366.87220447284,21965.37838717746,0.18648605953312333,33,"firstline-supervisors-of-landscaping-lawn-service-groundskeeping-workers","Engineering","14"
"51609X","Miscellaneous textile, apparel, & furnishings workers except upholsterers",2020,"2020","true","true",176,325.70980663283086,43336.045454545456,53050.74357666928,0.31241526009096265,9,"miscellaneous-textile-apparel-furnishings-workers-except-upholsterers","Engineering","14"
"292041","Emergency medical technicians & paramedics",2015,"2015","true","true",1151,832.934050863232,43329.36924413554,22300.40372921797,0.21483993256949696,46,"emergency-medical-technicians-paramedics","Engineering","14"
"439021","Data entry keyers",2019,"2019","true","true",2026,1105.0743430136204,43300.87561697927,19770.08978167743,0.21612629185947083,99,"data-entry-keyers","Engineering","14"
"371012","Firstline supervisors of landscaping, lawn service, & groundskeeping workers",2016,"2016","true","true",596,599.3727157295273,43288.18959731544,18579.706644775364,0.1797040719452361,31,"firstline-supervisors-of-landscaping-lawn-service-groundskeeping-workers","Engineering","14"
"472181","Roofers",2020,"2020","true","true",873,725.4050949906507,43244.48453608248,19501.168728830755,0.15249767128270245,25,"roofers","Engineering","14"
"433011","Bill & account collectors",2019,"2019","true","true",666,633.5937616248478,43193.57807807808,18433.390375330404,0.15345516846254115,31,"bill-account-collectors","Engineering","14"
"393010","Gaming services workers",2018,"2018","true","true",1135,827.1247067552413,43160.720704845815,22044.165405727847,0.39051825005119595,48,"gaming-services-workers","Engineering","14"
"432011","Switchboard operators, including answering service",2017,"2017","true","true",268,401.9219729028323,43154.42164179104,66033.27061590704,0.3381656268996142,7,"switchboard-operators-including-answering-service","Engineering","14"
"292072","Medical records specialists",2020,"2020","true","true",744,669.6689093935639,43151.13172043011,21562.31221590744,0.13777818786082643,37,"medical-records-specialists","Engineering","14"
"351012","Firstline supervisors of food preparation & serving workers",2017,"2017","true","true",2827,1305.369252677828,43150.00424478245,17890.462674786846,0.1806813805771074,114,"firstline-supervisors-of-food-preparation-serving-workers","Engineering","14"
"311121","Home health aides",2019,"2019","true","true",1335,897.0433389793257,43141.05393258427,41493.600830598596,0.09588348964595995,58,"home-health-aides","Engineering","14"
"434061","Eligibility interviewers, government programs",2014,"2014","true","true",527,563.6106961330167,43125.229601518025,17739.8253698821,0.27445139737487806,32,"eligibility-interviewers-government-programs","Engineering","14"
"273090","Miscellaneous media & communication workers",2016,"2016","true","true",1343,899.7268764705223,43077.90841399851,22456.53612877347,0.57790100906195,61,"miscellaneous-media-communication-workers","Engineering","14"
"339030","Security guards & gaming surveillance officers",2015,"2015","true","true",6185,1930.789452461173,43046.33985448666,16735.88161329458,0.2272023297617686,297,"security-guards-gaming-surveillance-officers","Engineering","14"
"519198","Helpersproduction workers",2020,"2020","true","true",113,260.9839589781335,42984.10619469026,129904.29136704146,0.0712020830460648,7,"helpersproduction-workers","Engineering","14"
